Name,Phone,Company,Email,Profile Summary,Pain Points
Alex Turner,+1-555-0201,StartupXYZ,alex@startupxyz.com,Founder looking for growth tools,
Maria Santos,+1-555-0202,Design Studio,maria@designstudio.com,,
Kevin Park,+1-555-0203,Tech Consulting,kevin@techconsult.com,IT consultant for SMBs,Legacy systems; Security concerns
Rachel Kim,+1-555-0204,Wellness Center,rachel@wellness.com,Owner of health and wellness business,Client retention; Appointment no-shows
Brian Foster,+1-555-0205,Auto Dealership,brian@autodealer.com,,
Sophie Chen,+1-555-0206,Fashion Boutique,sophie@fashionboutique.com,Retail owner expanding online,Inventory sync issues
Marcus Johnson,+1-555-0207,Coffee Chain,marcus@coffeeshop.com,Multi-location cafe manager,Staff scheduling
Nicole Grant,+1-555-0208,Photography Studio,nicole@photostudio.com,,
Derek Wright,+1-555-0209,Accounting Firm,derek@accountingfirm.com,CPA managing 100+ clients,Tax season overwhelm; Document collection
Olivia Ross,+1-555-0210,Event Planning,olivia@eventplan.com,Corporate event coordinator,Vendor coordination; Budget tracking
Andrew Bell,+1-555-0211,Fitness Gym,andrew@fitnessgym.com,,
Hannah Price,+1-555-0212,Dental Practice,hannah@dentalpractice.com,Practice manager,Patient reminders; Insurance verification
Eric Stone,+1-555-0213,Landscaping Co,eric@landscaping.com,Owner of landscaping business,Seasonal staffing; Quote follow-up
Megan Hill,+1-555-0214,Pet Services,megan@petservices.com,,
Justin Cooper,+1-555-0215,Moving Company,justin@movingco.com,Operations lead,Booking conflicts; Equipment tracking
Vanessa Reed,+1-555-0216,Salon & Spa,vanessa@salonspa.com,Spa owner with 3 locations,Staff utilization
Brandon Hayes,+1-555-0217,Security Systems,brandon@securitysys.com,,
Kimberly Ward,+1-555-0218,Interior Design,kim@interiordesign.com,Designer for residential clients,Project timeline management
Gregory Scott,+1-555-0219,Plumbing Services,greg@plumbingservices.com,Master plumber,Emergency dispatch; Parts inventory
Melissa Torres,+1-555-0220,Catering Business,melissa@catering.com,Catering manager,Menu planning; Dietary restrictions tracking
